אבו	given	IL	M	1827
אבו	given	PS	M	1313
אביבה	given	IL	F	1850
אביב	given	IL	M	1317
אבי	given	IL	M	9092
אבי	given	PS	M	3984
אברהם	given	IL	M	3616
אברהם	given	PS	M	1644
אגם	given	IL	F	1032
אדיר	given	IL	M	1049
אדם	given	IL	M	1211
אהרון	given	IL	M	1873
אופיר	given	IL	M	1445
אופק	given	IL	M	1329
אוראל	given	IL	M	1288
אורה	given	IL	F	1102
אורטל	given	IL	F	1299
אורית	given	IL	F	2460
אורי	given	IL	M	4665
אורי	given	PS	M	1894
אורלי	given	IL	F	2934
אורן	given	IL	M	1838
אורנה	given	IL	F	1519
אור	given	IL	U	3409
אור	given	PS	U	1050
אושר	given	IL	M	1036
אחמד	given	IL	M	3662
אחמד	given	PS	M	2134
איילת	given	IL	F	1088
אייל	given	IL	M	2384
אייל	given	PS	M	1032
אילן	given	IL	M	2952
אילן	given	PS	M	1169
אילנה	given	IL	F	3731
אילנה	given	PS	F	1261
אילנית	given	IL	F	1519
איציק	given	IL	M	4579
איציק	given	PS	M	1798
איריס	given	IL	F	2324
אירית	given	IL	F	1110
איתי	given	IL	M	3198
איתי	given	PS	M	1364
איתמר	given	IL	M	1150
איתן	given	IL	M	1768
אלה	given	IL	F	1377
אלון	given	IL	M	2204
אליהו	given	IL	M	1818
אלירן	given	IL	M	1215
אלי	given	IL	M	6977
אלי	given	PS	M	2795
אלעד	given	IL	M	1484
אמיר	given	IL	M	3379
אמיר	given	PS	M	2007
אמנון	given	IL	M	1040
אסף	given	IL	M	1876
אסתר	given	IL	F	4082
אסתר	given	PS	F	1517
אפרת	given	IL	F	1756
ארז	given	IL	M	1242
אריאל	given	IL	M	2137
אריאל	given	PS	M	1002
אריה	given	IL	M	1925
אשר	given	IL	M	1776
אתי	given	IL	F	5296
אתי	given	PS	F	1642
בן	given	IL	M	1780
בני	given	IL	M	2329
ברוך	given	IL	M	1269
בתיה	given	IL	F	1123
גבי	given	IL	M	1218
גיא	given	IL	M	2506
גיא	given	PS	M	1089
גילה	given	IL	F	1572
גיל	given	IL	M	1129
גלית	given	IL	F	2311
גל	given	IL	M	1169
דבורה	given	IL	F	1313
דודו	given	IL	M	1716
דודי	given	IL	M	1030
דוד	given	IL	M	8658
דוד	given	PS	M	3829
דורון	given	IL	M	1476
דורית	given	IL	F	1554
דינה	given	IL	F	1936
דליה	given	IL	F	2764
דן	given	IL	M	1057
דנה	given	IL	F	1707
דניאל	given	IL	M	5439
דניאל	given	PS	M	2580
דני	given	IL	M	2424
דני	given	PS	M	1101
הדס	given	IL	F	1099
הדר	given	IL	F	1104
הודיה	given	IL	F	1497
הילה	given	IL	F	2227
ורד	given	IL	F	1788
זהבה	given	IL	F	2479
זיוה	given	IL	F	1024
חגית	given	IL	F	1847
חיה	given	IL	F	1594
חיים	given	IL	M	6255
חיים	given	PS	M	2724
חמודי	given	IL	M	1344
חן	given	IL	F	1760
חנה	given	IL	F	4252
חנה	given	PS	F	1559
חני	given	IL	F	1344
טובה	given	IL	F	1111
טליה	given	IL	F	1371
טלי	given	IL	F	2088
טל	given	IL	U	3251
יאיר	given	IL	M	2492
יאיר	given	PS	M	1080
יגאל	given	IL	M	1828
יהודה	given	IL	M	3699
יהודה	given	PS	M	1461
יהודית	given	IL	F	3010
יהונתן	given	IL	M	1419
יואב	given	IL	M	1580
יובל	given	IL	U	3619
יובל	given	PS	U	1129
יוני	given	IL	M	1134
יונתן	given	IL	M	1711
Yossi	given	IL	M	9274
Yossi	given	PS	M	4004
יוסף	given	IL	M	4959
יוסף	given	PS	M	2501
יורם	given	IL	M	1588
יניב	given	IL	M	2129
יעל	given	IL	F	4164
יעל	given	PS	F	1684
יעקב	given	CO	M	2
יעקב	given	DZ	M	2
יעקב	given	FR	M	6
יעקב	given	GB	M	4
יעקב	given	IL	M	6185
יעקב	given	PS	M	2608
יעקב	given	US	M	13
יפה	given	IL	F	3304
יפה	given	PS	F	1078
יפית	given	IL	F	1083
יפעת	given	IL	F	1051
יצחק	given	IL	M	4913
יצחק	given	PS	M	2058
יצחק	given	US	M	6
יצחק	given	FR	M	4
יצחק	given	TN	M	3
יצחק	given	GB	M	2
ירון	given	IL	M	1553
ירין	given	IL	M	1291
ישראל	given	IL	M	3559
ישראל	given	PS	M	1704
כרמלה	given	IL	F	1032
לאה	given	IL	F	3011
לאה	given	PS	F	1113
ליאור	given	IL	U	4275
ליאור	given	PS	U	1508
ליאל	given	IL	F	1064
ליאת	given	IL	F	2188
לילך	given	IL	F	1164
לימור	given	IL	F	2192
מאור	given	IL	M	1902
מאיה	given	IL	F	2163
מאיר	given	IL	M	4775
מאיר	given	PS	M	1850
מוחמד	given	IL	M	3626
מוחמד	given	PS	M	1759
מוטי	given	IL	M	3323
מוטי	given	PS	M	1348
מורן	given	IL	F	1343
מזל	given	IL	F	2901
מזל	given	PS	F	1017
מחמד	given	IL	M	4352
מחמד	given	PS	M	2819
מחמוד	given	IL	M	2126
מחמוד	given	PS	M	1122
מיטל	given	IL	F	1867
מיכאל	given	IL	M	3498
