step	train_loss	val_loss	elapsed_s
500	2.3148	2.4792	6
1000	2.1647	2.4206	11
1500	2.0772	2.3800	16
2000	1.9951	2.3493	20
2500	1.9304	2.3540	25
3000	1.8899	2.3201	29
3500	1.8422	2.3144	34
4000	1.8098	2.2934	41
4500	1.7832	2.3134	46
5000	1.7605	2.3149	50
5500	1.7349	2.3071	54
6000	1.7276	2.2943	59
6500	1.7152	2.3157	63
7000	1.6933	2.3156	68
7500	1.6791	2.3011	72
8000	1.6713	2.3046	76
8500	1.6684	2.3041	81
9000	1.6477	2.2911	85
9500	1.6508	2.3130	90
10000	1.6377	2.3040	94
10500	1.6302	2.2986	99
11000	1.6204	2.3026	103
11500	1.6087	2.3007	107
12000	1.6051	2.2890	112
12500	1.6083	2.3017	116
13000	1.6026	2.3003	120
13500	1.5952	2.3041	124
14000	1.5879	2.3028	128
14500	1.5818	2.2926	132
15000	1.5663	2.3100	137
15500	1.5717	2.3016	141
16000	1.5656	2.2875	145
16500	1.5645	2.2975	149
17000	1.5570	2.2960	153
17500	1.5440	2.2913	158
18000	1.5472	2.2978	162
18500	1.5453	2.2835	166
19000	1.5350	2.2882	170
19500	1.5301	2.2993	174
20000	1.5375	2.2944	178
20500	1.5343	2.2851	182
21000	1.5248	2.2863	187
21500	1.5209	2.2882	191
22000	1.5148	2.2852	195
22500	1.5148	2.2965	199
23000	1.5040	2.2881	203
23500	1.5139	2.2913	207
24000	1.5069	2.3018	211
24500	1.5105	2.2904	215
