step	train_loss	val_loss	elapsed_s
500	2.4087	2.4154	7
1000	2.1922	2.2820	14
1500	2.0718	2.2480	21
2000	2.0088	2.1733	28
2500	1.9333	2.1399	35
3000	1.8737	2.0262	42
3500	1.7913	1.9555	49
4000	1.7287	1.8693	56
4500	1.7015	1.8060	63
5000	1.6432	1.7598	70
5500	1.6180	1.7249	78
6000	1.5753	1.7046	85
6500	1.5447	1.7005	92
7000	1.5565	1.6735	99
7500	1.5319	1.6724	106
8000	1.5152	1.6268	113
8500	1.4974	1.6308	121
9000	1.4865	1.6253	128
9500	1.4663	1.6111	136
10000	1.4555	1.5956	143
10500	1.4344	1.5964	150
11000	1.4261	1.6159	157
11500	1.4371	1.5807	164
12000	1.4268	1.5935	171
12500	1.3963	1.5669	178
13000	1.4271	1.5998	186
13500	1.4048	1.5686	194
14000	1.3867	1.5621	202
14500	1.3683	1.5662	210
15000	1.3712	1.5727	217
15500	1.3691	1.5497	224
16000	1.3774	1.5638	231
16500	1.3513	1.5535	238
17000	1.3686	1.5420	245
17500	1.3690	1.5381	252
18000	1.3528	1.5200	260
18500	1.3545	1.5296	267
19000	1.3439	1.5094	274
19500	1.3472	1.5258	282
20000	1.3376	1.5050	291
20500	1.3302	1.5148	300
21000	1.3196	1.5122	309
21500	1.3414	1.4907	321
22000	1.3188	1.4999	332
22500	1.3495	1.4924	341
23000	1.3136	1.5200	349
23500	1.3049	1.4936	357
24000	1.3197	1.5006	365
24500	1.3158	1.4951	374
25000	1.2950	1.4897	382
25500	1.2988	1.4820	389
26000	1.3120	1.4835	397
26500	1.3319	1.4936	405
27000	1.3121	1.4879	413
27500	1.2874	1.4692	421
28000	1.3142	1.4799	429
28500	1.2997	1.4639	436
29000	1.3026	1.4664	444
29500	1.2800	1.4626	450
30000	1.2964	1.4745	457
30500	1.3067	1.4579	464
31000	1.2733	1.4728	472
31500	1.2872	1.4797	482
32000	1.2619	1.4580	492
32500	1.2668	1.4552	503
33000	1.2673	1.4635	515
33500	1.2617	1.4466	526
34000	1.2669	1.4593	536
34500	1.2797	1.4541	546
35000	1.2741	1.4588	556
35500	1.2754	1.4394	565
36000	1.2742	1.4419	575
36500	1.2583	1.4450	584
37000	1.2827	1.4484	594
37500	1.2613	1.4385	604
38000	1.2591	1.4401	613
38500	1.2531	1.4402	623
39000	1.2522	1.4486	633
39500	1.2508	1.4416	643
40000	1.2353	1.4423	651
40500	1.2511	1.4441	660
41000	1.2143	1.4459	668
41500	1.2541	1.4327	676
42000	1.2458	1.4458	683
42500	1.2456	1.4329	693
43000	1.2433	1.4314	702
43500	1.2407	1.4199	712
44000	1.2620	1.4275	724
44500	1.2309	1.4299	734
45000	1.2753	1.4268	743
45500	1.2332	1.4226	754
46000	1.2464	1.4259	763
46500	1.2340	1.4262	772
47000	1.2345	1.4253	780
47500	1.2580	1.4392	788
48000	1.2310	1.4264	795
48500	1.1794	1.3689	802
49000	1.1754	1.3579	810
49500	1.1824	1.3562	817
50000	1.1770	1.3534	824
50500	1.1762	1.3440	832
51000	1.1581	1.3460	839
51500	1.1459	1.3458	847
52000	1.1729	1.3435	853
52500	1.1629	1.3480	860
53000	1.1630	1.3412	867
53500	1.1670	1.3392	873
54000	1.1315	1.3426	880
54500	1.1484	1.3360	887
55000	1.1413	1.3419	893
55500	1.1474	1.3398	900
56000	1.1369	1.3379	907
56500	1.1450	1.3362	916
57000	1.1381	1.3402	925
57500	1.1540	1.3373	932
58000	1.1603	1.3326	939
58500	1.1625	1.3356	947
59000	1.1437	1.3323	954
59500	1.1318	1.3323	961
60000	1.1478	1.3320	969
60500	1.1302	1.3370	977
61000	1.1537	1.3325	985
61500	1.1381	1.3318	992
62000	1.1180	1.3322	1001
62500	1.1520	1.3332	1009
63000	1.1385	1.3320	1017
63500	1.1299	1.3233	1025
64000	1.1425	1.3278	1033
64500	1.1358	1.3226	1041
65000	1.1261	1.3251	1050
65500	1.1155	1.3324	1058
66000	1.1280	1.3276	1067
66500	1.1212	1.3266	1075
67000	1.1207	1.3256	1084
67500	1.1044	1.3255	1094
68000	1.1211	1.3205	1103
68500	1.1110	1.3011	1112
69000	1.0837	1.2984	1120
69500	1.0861	1.2995	1129
70000	1.0875	1.2953	1138
70500	1.0849	1.2925	1147
71000	1.0897	1.2929	1157
71500	1.0843	1.2910	1166
72000	1.0827	1.2903	1174
72500	1.0823	1.2908	1183
73000	1.1034	1.2881	1191
73500	1.1054	1.2858	1200
74000	1.0716	1.2863	1208
74500	1.0770	1.2863	1220
75000	1.0843	1.2882	1231
75500	1.0860	1.2891	1240
76000	1.0804	1.2890	1249
76500	1.0903	1.2859	1258
77000	1.0916	1.2871	1266
77500	1.0639	1.2862	1275
78000	1.0650	1.2874	1283
78500	1.0740	1.2854	1292
79000	1.0750	1.2850	1301
79500	1.0959	1.2848	1309
80000	1.0896	1.2845	1317
