step	train_loss	val_loss	elapsed_s
500	2.2344	2.3359	3
1000	2.0775	2.2656	6
1500	1.9597	2.1984	9
2000	1.8630	2.1143	12
2500	1.7832	2.0683	15
3000	1.7270	2.0303	18
3500	1.6750	1.9884	21
4000	1.6311	1.9696	24
4500	1.6065	1.9470	27
5000	1.5738	1.9539	30
5500	1.5496	1.9395	33
6000	1.5347	1.9216	36
6500	1.5009	1.9144	40
7000	1.5020	1.9106	43
7500	1.4850	1.8900	45
8000	1.4691	1.8937	48
8500	1.4566	1.8807	52
9000	1.4531	1.8767	55
9500	1.4269	1.8686	58
10000	1.4215	1.8553	61
10500	1.3996	1.8662	64
11000	1.3975	1.8572	67
11500	1.3904	1.8738	70
12000	1.3849	1.8601	74
12500	1.3791	1.8544	77
13000	1.3722	1.8549	81
13500	1.3614	1.8494	84
14000	1.3595	1.8292	87
14500	1.3524	1.8438	90
15000	1.3361	1.8429	93
15500	1.3465	1.8312	95
16000	1.3284	1.8410	98
16500	1.3191	1.8424	101
17000	1.3290	1.8522	104
17500	1.3148	1.8362	107
18000	1.3147	1.8406	110
18500	1.3111	1.8397	113
19000	1.2881	1.8369	116
19500	1.2981	1.8324	119
20000	1.2970	1.8373	122
